datetime,PARAM_PV,PARAM_PL,Buy_rate,Sell_rate,Pnet,u1,s1,Pchg_1,Pchg_2,Pdchg_1,Pdchg_2,xchg_1,xchg_2,xdchg_1,xdchg_2,soc_1,soc_2
2023-03-16 12:30:00,28.088962757115542,13.460794194425942,5.8,2,-3.552713678800501e-15,0.0,0.0,7.314084281344767,7.314084281344837,0.0,0.0,1.0,1.0,0.0,0.0,71.51020406772395,71.51020406772393
2023-03-16 12:45:00,28.57813704352597,13.82680987977778,5.8,2,-1.7763568394002505e-15,0.0,0.0,7.375663581874166,7.375663581874026,0.0,0.0,1.0,1.0,0.0,0.0,72.89988008117945,72.89988008117945
2023-03-16 13:00:00,27.44456631028973,13.35864175877778,5.8,2,-1.7763568394002505e-15,0.0,0.0,7.042962275755957,7.042962275755994,0.0,0.0,1.0,1.0,0.0,0.0,74.30125616173554,74.30125616173551
2023-03-16 13:15:00,27.184787655965316,12.43461918632429,5.8,2,-1.7763568394002505e-15,0.0,0.0,7.375084234820461,7.375084234820566,0.0,0.0,1.0,1.0,0.0,0.0,75.63941899412917,75.63941899412916
2023-03-16 13:30:00,21.3386339343248,12.48412293858821,5.8,2,-8.881784197001252e-16,0.0,0.0,4.427255497868316,4.427255497868274,0.0,0.0,1.0,1.0,0.0,0.0,77.04068499874505,77.04068499874506
2023-03-16 13:45:00,16.92405199491136,15.243992517333371,5.8,2,-2.220446049250313e-16,0.0,0.0,0.8400297387890074,0.8400297387889806,0.0,0.0,1.0,1.0,0.0,0.0,77.88186354334003,77.88186354334003
2023-03-16 14:00:00,19.884435924229575,15.124908527333329,5.8,2,-4.440892098500626e-16,0.0,0.0,2.3797636984480985,2.379763698448148,0.0,0.0,1.0,1.0,0.0,0.0,78.04146919370994,78.04146919370994
2023-03-16 14:15:00,21.28628652660515,15.13283300711111,5.8,2,-8.881784197001252e-16,0.0,0.0,3.0767267597470713,3.076726759746969,0.0,0.0,1.0,1.0,0.0,0.0,78.49362429641508,78.49362429641509
2023-03-16 14:30:00,22.26453763275871,16.610660490482587,5.8,2,-1.3322676295501878e-15,0.0,0.0,2.8269385711380464,2.826938571138078,0.0,0.0,1.0,1.0,0.0,0.0,79.07820238076702,79.07820238076701
2023-03-16 14:45:00,21.486385368490726,18.101868746222223,5.8,2,-6.661338147750939e-16,0.0,0.0,1.6922583111341343,1.6922583111343694,0.0,0.0,1.0,1.0,0.0,0.0,79.61532070928325,79.61532070928325
2023-03-16 15:00:00,16.499284460599966,18.039713039811566,5.8,2,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.7702142896055979,0.7702142896060019,0.0,0.0,1.0,1.0,79.93684978839875,79.93684978839879
2023-03-16 15:15:00,18.04199016200485,15.541932736444442,5.8,2,-2.220446049250313e-16,0.0,0.0,1.250028712780149,1.2500287127802594,0.0,0.0,1.0,1.0,0.0,0.0,79.76249454457177,79.76249454457175
2023-03-16 15:30:00,16.605284515122175,17.48616736677777,5.8,2,0.0,0.0,0.0,0.0,0.0,0.4404414258278222,0.44044142582777335,0.0,0.0,1.0,1.0,80.0,80.0
2023-03-16 15:45:00,15.184582384375368,17.69063920699119,5.8,2,0.0,0.0,0.0,0.0,0.0,1.2530284113078922,1.2530284113079295,0.0,0.0,1.0,1.0,79.90029622505311,79.90029622505313
2023-03-16 16:00:00,12.540525029042968,16.828037253333335,5.8,2,-4.440892098500626e-16,0.0,0.0,0.0,0.0,2.1437561121451676,2.143756112145199,0.0,0.0,1.0,1.0,79.61664519815828,79.61664519815828
2023-03-16 16:15:00,6.40409339935226,15.754441400777768,5.8,2,-8.881784197001252e-16,0.0,0.0,0.0,0.0,4.675174000712826,4.675174000712682,0.0,0.0,1.0,1.0,79.13135801940443,79.13135801940442
2023-03-16 16:30:00,3.70751500263947,11.097776899835544,5.8,2,-4.440892098500626e-16,0.0,0.0,0.0,0.0,3.6951309485980146,3.6951309485980595,0.0,0.0,1.0,1.0,78.0730277419369,78.07302774193693
2023-03-16 16:45:00,3.302944194121898,11.944876692888888,5.8,2,0.0,0.0,0.0,0.0,0.0,4.320966249383515,4.320966249383476,0.0,0.0,1.0,1.0,77.23655214519711,77.23655214519712
2023-03-16 17:00:00,3.0197441683795314,11.690112623251384,5.8,2,-8.881784197001252e-16,0.0,0.0,0.0,0.0,4.335184227435838,4.335184227436013,0.0,0.0,1.0,1.0,76.25840472032252,76.25840472032255
2023-03-16 17:15:00,2.303627960317996,13.63841836833333,5.8,2,-8.881784197001252e-16,0.0,0.0,0.0,0.0,5.667395204007715,5.667395204007618,0.0,0.0,1.0,1.0,75.2770387378809,75.27703873788089
2023-03-16 17:30:00,1.6098003576901074,11.131869317333331,5.8,2,-8.881784197001252e-16,0.0,0.0,0.0,0.0,4.761034479821523,4.7610344798217,0.0,0.0,1.0,1.0,73.9940969825877,73.99409698258772
