datetime,PV,PL,Buy_rate,Sell_rate,Pchg_1,Pchg_2,Pdchg_1,Pdchg_2,s,soc_1,soc_2,u,xchg_1,xchg_2,xdchg_1,xdchg_2,Pnet
01-Nov-2023 05:40:00,0.0350752944052219,0.8366916,2.6,2,1.13410600260749,1.13410600260749,0,0,0,69.8624930455643,69.8624930455643,0.665129467342114,1,1,0,0,-3.06982831080975
01-Nov-2023 05:45:00,0.0417113266512752,0.83488053,2.6,2,1.16975694476852,1.16975694476884,0,0,0,69.9343197590628,69.9343197590628,0.678748003458652,1,1,0,0,-3.13268309288608
01-Nov-2023 05:50:00,0.0437533754512668,0.89072436,2.6,2,1.16975694476852,1.16975694476852,0,0,0,70.0084043655648,70.0084043655648,0.690405056051918,1,1,0,0,-3.18648487408578
01-Nov-2023 05:55:00,0.0748922530084848,0.87135905,2.6,2,1.16975694476852,1.16975694476852,0,0,0,70.0824889720668,70.0824889720669,0.679462482081188,1,1,0,0,-3.13598068652856
01-Nov-2023 06:00:00,0.0936737265765667,0.8218242,2.6,2,1.16975694476852,1.16975694476839,0,0,0,70.1565735785689,70.1565735785689,0.664660611974741,1,1,0,0,-3.06766436296034
01-Nov-2023 06:05:00,0.181463897001743,0.83678687,2.6,2,1.16975694476852,1.16975694476852,0,0,0,70.2306581850709,70.2306581850709,0.648881320215982,1,1,0,0,-2.9948368625353
01-Nov-2023 06:10:00,0.199258124274015,0.896936,2.6,2,1.16975694476852,1.16975694476846,0,0,0,70.3047427915729,70.3047427915729,0.658058215806977,1,1,0,0,-3.03719176526297
01-Nov-2023 06:15:00,0.173550624096394,0.9276873,2.6,2,1.16975694476852,1.16975694476852,0,0,0,70.3788273980749,70.3788273980749,0.670290955845474,1,1,0,0,-3.09365056544065
01-Nov-2023 06:20:00,0.319055745112896,1.0259702,2.6,2,0.914480944721381,0.914480944721381,0,0,0,70.4529120045769,70.4529120045769,0.549439874604804,1,1,0,0,-2.53587634432987
01-Nov-2023 06:25:00,0.29298778012991,1.0451057,2.6,2,1.16975694476851,1.16975694476839,0,0,0,70.5108291310759,70.5108291310759,0.669853558704848,1,1,0,0,-3.09163180940699
01-Nov-2023 06:30:00,0.418355690145493,0.9894649,2.6,2,1.03878208673332,1.03878208673332,0,0,0,70.5849137375779,70.5849137375779,0.573879233052916,1,1,0,0,-2.64867338332115
01-Nov-2023 06:35:00,0.795414928722382,0.96333104,2.6,2,0.8697737534526,0.8697737534526,0,0,0,70.6507032697377,70.6507032697377,0.413283783939611,1,1,0,0,-1.90746361818282
01-Nov-2023 06:40:00,0.72902945458889,0.98801357,2.6,2,1.16975694476852,1.16975694476852,0,0,0,70.7057889407897,70.7057889407897,0.5630079010721,1,1,0,0,-2.59849800494815
01-Nov-2023 06:45:00,1.15464316892624,0.98793554,2.6,2,1.12601738236323,1.12601738236323,0,0,0,70.7798735472917,70.7798735472917,0.451820879423382,1,1,0,-0,-2.08532713580023
01-Nov-2023 06:50:00,1.20136115999222,0.9978962,2.6,2,1.06777131199517,1.06777131199517,0,0,0,70.8511879815081,70.851187981508,0.418616827199594,1,1,-0,-0,-1.93207766399812
